Tweet ID: 1 | Score: 0.30 | Label: positif | Mots Sentiment: 1 | Tokens: ['allez', 'emmène', 'resto', 'zappé', 'telho', 'reste', 'tranquille', 'tn', 'clavier']
Tweet ID: 2 | Score: 0.30 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'nrj', 'music', 'tour', 'vendée', 'débarque', '5', 'mars', 'roche', 'yon', 'toutes', 'stars', 'préférées']
Tweet ID: 3 | Score: 1.30 | Label: positif | Mots Sentiment: 4 | Tokens: ['RT', 'troisième', 'participant', 'superbe', 'a', 'message', 'lol', 'jpp', 'http…']
Tweet ID: 4 | Score: -0.90 | Label: négatif | Mots Sentiment: 2 | Tokens: ['RT', 'chepa', 'cherche', 'koi', 'cet', 'pute', 'lapelle', 'jtombe', 'répondeur', 'meditel']
Tweet ID: 5 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['concours', 'ifsi', 'reims', 'premier', 'jour', 'bac', 'blanc']
Tweet ID: 6 | Score: -0.60 | Label: négatif | Mots Sentiment: 2 | Tokens: ['heu', 'con', 'prend', 'lopettes', 'pas', 'parti', 'mdrrrr']
Tweet ID: 7 | Score: 0.30 | Label: positif | Mots Sentiment: 1 | Tokens: ['abracadabar', 'diffusera', 'grand', 'écran', 'nintendo', 'direct', 'attention', 'bar', 'ouvre', 'pas', 'avant', '19h', 'ferme', '0h00']
Tweet ID: 8 | Score: 1.00 | Label: positif | Mots Sentiment: 2 | Tokens: ['RT', 'reste', 'toujours', 'extrêmement', 'fidèle', 'amis']
Tweet ID: 9 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['orage', 'juste', 'dessus', 'maison', 'voyou']
Tweet ID: 10 | Score: 0.50 | Label: positif | Mots Sentiment: 1 | Tokens: ['ptdr', 'prix', 'fringues']
Tweet ID: 11 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['ah', 'ah', 'tas', 'feuilles', 'équivalent', 'chapitre', 'grosses', 'matières', 'encore']
Tweet ID: 12 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['soutien', '100', '%']
Tweet ID: 13 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['flocons', 'balz', 'comme', 'chat', 'wande']
Tweet ID: 14 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['critiquer', 'pas', 'temps', 'amis']
Tweet ID: 15 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'apparence', 'personne', 'calme', 'si', 'explose', 'diable', 'cache']
Tweet ID: 16 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['oui', 'exact', 'surtout', 'a', '3', '4', 'ans', 'ca', 'commence', 'tot', 'djihad']
