Tweet ID: 1 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'l’actu', '–', 'médecins', 'travail', 'vent', 'debout', 'contre', 'projet', 'loi', 'el', 'khomri']
Tweet ID: 2 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'scène', '26', '03', 'cc', 'http…']
Tweet ID: 3 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'sauvez', 'patrimoine', 'historique', 'france', 'massacré', 'éoliennes', 'géantes']
Tweet ID: 4 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['tombe', 'tellement', 'amoureux', 'the', 'fame', 'monster']
Tweet ID: 5 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'façon', 'ca', 'sert', 'a', 'rien', 'excuser', 'gens', 'changent', 'varient', 'jours', 'jours', 'hypocrisie']
Tweet ID: 6 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'atteint', '-', 'disparaît']
Tweet ID: 7 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'genevoix', 'lgenre', 'lycée', 'être', 'état', 'urgence', 'depuis', '4', 'mois', 'fermant', 'toute', 'porte', 'entrée', 'organise', '…']
Tweet ID: 9 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'coup', 'soleil', 'intense', 'aussi']
Tweet ID: 10 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'écoutais', 'musique', 'sch', 'puis', 'jdescend', 'pr', 'voir', 'commentaires', 'jtombe', 'ça', 'ptdrr', 'jsuis', 'morte']
Tweet ID: 11 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['récolté', '402', 'unités', 'nourriture']
Tweet ID: 12 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'inès', 'traitée', 'michetonneuse', 'capucine', 'anav', 'répond', 'violemment']
Tweet ID: 13 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'holland', 'avant', 'première', 'london', 'has', 'fallen', '01', '03', '16']
Tweet ID: 14 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'crois', 'peux', 'tout', 'faire', 'partir', 'moment', 'où', 'écouteurs', 'balle']
Tweet ID: 15 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['trop', 'contente', 'cette', 'journée']
Tweet ID: 16 | Score: -0.65 | Label: négatif | Mots Sentiment: 2 | Tokens: ['moment', 'pb', 'partie', 'gauche', 'visage', 'genre', 'vieux', 'tic', 'trop', 'chelou']
Tweet ID: 17 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'a', 'plus', 'plus', 'mecs', 'font', 'coiffure', 'manny', 'âge', 'glace', 'chaud']
Tweet ID: 18 | Score: 0.00 | Label: neutre | Mots Sentiment: 0 | Tokens: ['équipe', 'bayern', 'soir', 'ya', 'plus', 'français', 'allemand']
Tweet ID: 19 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'jérémy', 'offre', 'dossier', 'merci']
Tweet ID: 20 | Score: 0.00 | Label: neutre | Mots Sentiment: 1 | Tokens: ['RT', 'terre', 'balade', 'randonnée', 'images']
Tweet ID: 21 | Score: 1.35 | Label: positif | Mots Sentiment: 2 | Tokens: ['bah', 'aussi', 'positif', 'bon', 'dénivelé', 'montagne', '-*']
